SEA,SEA,SEA,SEASH,SEASH,SEASH,TRE,TRE,TRE,STRU,STRU,STRU,HET,HET,HET
no scaler,best per_time_series,best per_dataset,no scaler,best per_time_series,best per_dataset,no scaler,best per_time_series,best per_dataset,no scaler,best per_time_series,best per_dataset,no scaler,best per_time_series,best per_dataset
0.4916,0.4886,0.49,0.4894,0.4887,0.4893,1.9759,1.0459,1.3036,0.5683,0.5676,0.5687,1.2887,1.1503,1.2244
0.7768,0.4007,0.6952,0.6487,0.6486,0.6487,0.8551,0.4097,0.6741,0.5158,0.4529,0.453,0.826,0.6944,0.6943
0.8219,0.6522,0.775,0.6484,0.6483,0.6484,0.8328,0.5766,0.5902,0.7754,0.7747,0.7747,1.323,1.3187,1.3194
0.4129,0.4007,0.4132,0.4017,0.4017,0.4018,0.4226,0.401,0.4182,0.4544,0.4539,0.4541,0.8278,0.6992,0.6987
1.0045,1.001,1.001,0.9985,0.9964,0.9964,0.999,0.6011,0.6515,1.0014,1.0009,1.0012,1.6155,1.5058,1.5408
0.5576,0.5309,0.5488,0.5289,0.5287,0.5277,2.3878,0.9197,1.388,0.6272,0.6352,0.6354,1.3297,1.0749,1.125
0.7005,0.6868,0.6868,0.7039,0.701,0.701,0.7179,0.4487,0.4841,0.7046,0.7041,0.7044,1.1366,1.0559,1.0794
0.486,0.4988,0.4918,0.4944,0.4938,0.4939,,,,0.5983,0.5806,0.5804,1.3001,1.2779,1.2849
1.4756,0.5095,1.4319,1.2497,1.2335,1.25,17.6282,0.5076,17.0616,0.5084,0.5076,0.5076,1.0097,0.8215,0.8219
0.5125,0.5096,0.5134,0.5067,0.507,0.507,0.5128,0.509,0.5126,0.5233,0.5104,0.5104,1.0099,0.8267,0.8269
