,,baseline,baseline
,,MAE,RMSE
baseline,ID,,
NP_ampl_and_offset_1.0,0,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,1,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,2,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,3,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,4,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,5,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,6,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,7,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,8,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_1.0,9,0.5038999915122986,0.7071181185979076
NP_ampl_and_offset_10.0,0,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,1,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,2,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,3,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,4,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,5,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,6,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,7,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,8,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_10.0,9,0.5195995569229126,0.7090246856411138
NP_ampl_and_offset_2.0,0,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,1,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,2,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,3,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,4,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,5,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,6,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,7,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,8,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_2.0,9,0.5056445598602295,0.7071759829255524
NP_ampl_and_offset_3.0,0,0.5073893070220947,0.707272483179755
NP_ampl_and_offset_3.0,1,0.5073893070220947,0.707272483179755
