model,norm_mode,scaler,weighted,MAE,RMSE,MASE,exp_id,data_group_id,scaling_level,norm_type,norm_affine
LightGBMModel,none,None,None,0.2374,0.304,0.8708,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.2357,0.3012,0.8648,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.2357,0.3012,0.8648,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.2385,0.3045,0.875,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.2361,0.3014,0.8661,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.2361,0.3014,0.8661,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),None,0.2322,0.2979,0.8517,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.2361,0.3008,0.8659,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.2361,0.3008,0.8659,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.2323,0.2968,0.8523,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.2328,0.2977,0.854,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.2328,0.2977,0.854,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.2296,0.2961,0.8423,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.2176,0.2725,0.7983,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.2176,0.2725,0.7983,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.246,0.3125,0.9025,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.2202,0.2818,0.8733,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.2202,0.2818,0.8733,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),None,0.2202,0.2818,0.8733,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,None,None,0.1598,0.2011,0.6844,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.1609,0.202,0.6892,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.1609,0.202,0.6892,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.162,0.2035,0.6941,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.1607,0.2021,0.6886,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.1607,0.2021,0.6886,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),None,0.1599,0.2009,0.6848,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.1592,0.2003,0.682,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.1592,0.2003,0.682,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.1596,0.2019,0.6838,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.1621,0.2039,0.6944,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.1621,0.2039,0.6944,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.1688,0.2128,0.7232,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.1591,0.1981,0.6814,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.1591,0.1981,0.6814,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.1651,0.2064,0.7072,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.1455,0.188,0.693,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.1455,0.188,0.693,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),None,0.1455,0.188,0.693,"gen_one_shape_heteroscedacity_LGBM_n_ts_[1, 10]_am_[10, 1]_of_[10, 1]_gr_[1.0, 0.0]_None",HET,per_dataset,None,False
LightGBMModel,none,None,None,0.3067,0.3871,0.503,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,None,None,False
LightGBMModel,none,StandardScaler(),None,0.3073,0.3863,0.5039,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),std,0.3073,0.3863,0.5039,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,StandardScaler(),None,0.307,0.3863,0.5034,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,MinMaxScaler(),None,0.3087,0.3877,0.5063,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),std,0.3087,0.3877,0.5063,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,MinMaxScaler(),None,0.3085,0.3875,0.5058,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3071,0.3864,0.5035,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",std,0.3071,0.3864,0.5035,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,"RobustScaler(quantile_range=(5, 95))",None,0.3081,0.3868,0.5052,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,PowerTransformer(),None,0.3083,0.3884,0.5055,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),std,0.3083,0.3884,0.5055,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,PowerTransformer(),None,0.3085,0.3883,0.5058,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3069,0.3857,0.5033,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),std,0.3069,0.3857,0.5033,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,QuantileTransformer(output_distribution='normal'),None,0.3106,0.3908,0.5093,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_dataset,None,False
LightGBMModel,none,LogTransformer(),None,0.2709,0.3491,0.5152,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
LightGBMModel,none,LogTransformer(),std,0.2709,0.3491,0.5152,"gen_one_shape_heteroscedacity_LGBM_n_ts_[10, 1]_am_[10, 1]_of_[10, 1]_gr_[0.0, 1.0]_None",HET,per_time_series,None,False
