model,norm_mode,norm_type,norm_affine,scaler,weighted,MAE,RMSE,MASE,exp_id,scaling_level
NeuralProphetModel,none,None,False,None,None,1.1846,1.4891,0.5165,NP_trend_2.0,None
NeuralProphetModel,none,None,False,None,None,1.8191,2.2626,1.0376,NP_structural_break_1.0,None
NeuralProphetModel,none,None,False,None,None,1.175,1.4754,0.5118,NP_trend_4.0,None
NeuralProphetModel,none,None,False,None,None,2.0372,2.5636,1.2327,NP_heteroscedasticity_9.0,None
NeuralProphetModel,none,None,False,None,None,1.1736,1.4733,0.5101,NP_trend_8.0,None
NeuralProphetModel,none,None,False,None,None,1.8644,2.3487,1.0338,NP_heteroscedasticity_3.0,None
NeuralProphetModel,none,None,False,None,None,1.1694,1.4687,0.5098,NP_offset_1.0,None
NeuralProphetModel,none,None,False,None,None,1.3358,1.6747,0.5835,NP_amplitude_1.0,None
NeuralProphetModel,none,None,False,None,None,1.1735,1.4733,0.5104,NP_trend_7.0,None
NeuralProphetModel,none,None,False,None,None,0.9908,1.2406,0.432,NP_offset_0.0,None
NeuralProphetModel,none,None,False,None,None,1.174,1.474,0.5111,NP_trend_5.0,None
NeuralProphetModel,none,None,False,None,None,2.2894,2.8427,1.6597,NP_structural_break_7.0,None
NeuralProphetModel,none,None,False,None,None,2.1131,2.6239,1.3552,NP_structural_break_3.0,None
NeuralProphetModel,none,None,False,None,None,1.3855,1.7394,0.6055,NP_amplitude_6.0,None
NeuralProphetModel,none,None,False,None,None,1.9139,2.4113,1.0866,NP_heteroscedasticity_4.0,None
NeuralProphetModel,none,None,False,None,None,1.1778,1.4793,0.5132,NP_trend_3.0,None
NeuralProphetModel,none,None,False,None,None,1.1733,1.4729,0.5086,NP_offset_7.0,None
NeuralProphetModel,none,None,False,None,None,2.3083,2.8666,1.7059,NP_structural_break_8.0,None
NeuralProphetModel,none,None,False,None,None,1.1732,1.4728,0.5101,NP_offset_4.0,None
NeuralProphetModel,none,None,False,None,None,2.0034,2.5216,1.19,NP_heteroscedasticity_7.0,None
NeuralProphetModel,none,None,False,None,None,1.7929,2.2573,0.9633,NP_heteroscedasticity_2.0,None
NeuralProphetModel,none,None,False,None,None,1.3832,1.7364,0.6044,NP_amplitude_5.0,None
NeuralProphetModel,none,None,False,None,None,1.1736,1.4734,0.5107,NP_trend_6.0,None
NeuralProphetModel,none,None,False,None,None,1.3742,1.7247,0.6005,NP_amplitude_3.0,None
NeuralProphetModel,none,None,False,None,None,2.0219,2.5445,1.2131,NP_heteroscedasticity_8.0,None
NeuralProphetModel,none,None,False,None,None,1.1732,1.4728,0.5075,NP_offset_9.0,None
NeuralProphetModel,none,None,False,None,None,1.6783,2.1114,0.8632,NP_heteroscedasticity_1.0,None
NeuralProphetModel,none,None,False,None,None,1.3637,1.711,0.5958,NP_amplitude_2.0,None
NeuralProphetModel,none,None,False,None,None,2.1832,2.7104,1.4579,NP_structural_break_4.0,None
NeuralProphetModel,none,None,False,None,None,2.3233,2.8854,1.7454,NP_structural_break_9.0,None
NeuralProphetModel,none,None,False,None,None,1.173,1.4726,0.5105,NP_offset_3.0,None
NeuralProphetModel,none,None,False,None,None,1.3798,1.7319,0.6029,NP_amplitude_4.0,None
NeuralProphetModel,none,None,False,None,None,2.2308,2.7696,1.5392,NP_structural_break_5.0,None
NeuralProphetModel,none,None,False,None,None,1.9805,2.4934,1.1624,NP_heteroscedasticity_6.0,None
NeuralProphetModel,none,None,False,None,None,1.9935,2.4762,1.2147,NP_structural_break_2.0,None
NeuralProphetModel,none,None,False,None,None,1.1733,1.4729,0.5091,NP_offset_6.0,None
NeuralProphetModel,none,None,False,None,None,1.1723,1.4719,0.5107,NP_offset_2.0,None
NeuralProphetModel,none,None,False,None,None,2.3355,2.9007,1.7798,NP_structural_break_10.0,None
NeuralProphetModel,none,None,False,None,None,1.1955,1.502,0.5215,NP_trend_1.0,None
NeuralProphetModel,none,None,False,None,None,1.4667,1.842,0.7086,NP_heteroscedasticity_0.0,None
NeuralProphetModel,none,None,False,None,None,2.2645,2.8116,1.6051,NP_structural_break_6.0,None
NeuralProphetModel,none,None,False,None,None,1.1737,1.4734,0.5099,NP_trend_9.0,None
NeuralProphetModel,none,None,False,None,None,1.3872,1.7416,0.6062,NP_amplitude_7.0,None
NeuralProphetModel,none,None,False,None,None,1.1732,1.4729,0.5096,NP_offset_5.0,None
NeuralProphetModel,none,None,False,None,None,0.9909,1.2407,0.4324,NP_trend_0.0,None
NeuralProphetModel,none,None,False,None,None,1.1733,1.4729,0.5081,NP_offset_8.0,None
NeuralProphetModel,none,None,False,None,None,1.3895,1.7445,0.6072,NP_amplitude_9.0,None
NeuralProphetModel,none,None,False,None,None,1.9516,2.4578,1.1287,NP_heteroscedasticity_5.0,None
NeuralProphetModel,none,None,False,None,None,0.9908,1.2406,0.432,NP_amplitude_0.0,None
NeuralProphetModel,none,None,False,None,None,1.3885,1.7432,0.6068,NP_amplitude_8.0,None
