,MAE,RMSE
LGBM_amplitude_0.0,1.4741245481697935,1.4795205672794418
LGBM_amplitude_1.0,1.474256047864525,1.4841977692798864
LGBM_amplitude_2.0,1.4801705950239243,1.4825948590510567
LGBM_amplitude_3.0,1.466488668597283,1.4728929466592753
LGBM_amplitude_4.0,1.4664487202646563,1.4737922889031443
LGBM_amplitude_5.0,1.4809025087241063,1.487493441197799
LGBM_amplitude_6.0,1.4690293272170618,1.472292939266332
LGBM_amplitude_7.0,1.4691407431622152,1.4723920717307821
LGBM_amplitude_8.0,1.469131033199519,1.47239181385826
LGBM_amplitude_9.0,1.4691248097376368,1.4723914283960933
LGBM_heteroscedasticity_0.0,1.9474501135599982,1.920520414655242
LGBM_heteroscedasticity_1.0,2.1784217912812713,2.1065956004085877
LGBM_heteroscedasticity_2.0,2.3289753983316017,2.215577340127964
LGBM_heteroscedasticity_3.0,2.4174495940152942,2.273965522583086
LGBM_heteroscedasticity_4.0,2.5088366842902494,2.3312556036147294
LGBM_heteroscedasticity_5.0,2.5539347139220254,2.358648961004297
LGBM_heteroscedasticity_6.0,2.5944664893710354,2.3776438059174447
LGBM_heteroscedasticity_7.0,2.638298078839093,2.410538454696548
LGBM_heteroscedasticity_8.0,2.664886534366705,2.422035770909282
LGBM_heteroscedasticity_9.0,2.6963659524179375,2.4433331986257243
LGBM_offset_0.0,1.4741245481697935,1.4795205672794418
LGBM_offset_1.0,1.4657474971538453,1.4749193882002865
LGBM_offset_2.0,1.4667478976760602,1.4768199000207596
LGBM_offset_3.0,1.4697482804815594,1.4751195239994972
LGBM_offset_4.0,1.4714981422061717,1.4774194913216088
LGBM_offset_5.0,1.47174924879326,1.4770202072108674
LGBM_offset_6.0,1.4607468071450709,1.472318955121972
LGBM_offset_7.0,1.4702488920909875,1.476220084844988
LGBM_offset_8.0,1.4678729481971533,1.4797201083068576
LGBM_offset_9.0,1.4706234963344573,1.4776197194832354
LGBM_structural_break_0.0,2.0855369067453595,1.972855981230886
LGBM_structural_break_1.0,2.2897080973724817,2.084241784561171
LGBM_structural_break_2.0,2.4442338240868287,2.149431777801111
LGBM_structural_break_3.0,2.5434537344023065,2.188725846605399
LGBM_structural_break_4.0,2.6175916243724964,2.208520739356394
LGBM_structural_break_5.0,2.680095954889595,2.2180172694507885
LGBM_structural_break_6.0,2.7341326862917863,2.228714553621916
LGBM_structural_break_7.0,2.797871831561071,2.255012508563424
LGBM_structural_break_8.0,2.819209132736353,2.2549113369451383
LGBM_structural_break_9.0,2.8453913482644912,2.252109023823398
LGBM_trend_0.0,2.37895026981159,2.343390577415038
LGBM_trend_1.0,2.359448417114347,2.356291355767937
LGBM_trend_2.0,2.497461269969189,2.52340563649982
LGBM_trend_3.0,2.6729727116661857,2.738220294403215
LGBM_trend_4.0,2.9507474826903093,3.0265454339881313
LGBM_trend_5.0,3.2401492416812885,3.343672897545196
LGBM_trend_6.0,3.500294225807902,3.607992578796117
LGBM_trend_7.0,3.8812027766218256,3.9669227574517305
LGBM_trend_8.0,4.3398662854826595,4.409658816081766
LGBM_trend_9.0,4.671891697863311,4.742584616340353
NP_FNN_amplitude_0.0,1.8970352797215584,1.9127558719607007
NP_FNN_amplitude_1.0,1.8980937379737688,1.9140260835690146
NP_FNN_amplitude_2.0,1.8980834936695727,1.9142224753521941
NP_FNN_amplitude_3.0,1.8982347154674848,1.91432080288918
NP_FNN_amplitude_4.0,1.8981830060247589,1.9143198747495411
NP_FNN_amplitude_5.0,1.8982761277020592,1.9143202535570973
NP_FNN_amplitude_6.0,1.8982554832323102,1.9143208425102656
NP_FNN_amplitude_7.0,1.8982381754102566,1.9143197063825736
NP_FNN_amplitude_8.0,1.8982256294224351,1.9144193773475968
NP_FNN_amplitude_9.0,1.8982175882507617,1.9144188761656193
NP_FNN_heteroscedasticity_0.0,2.372859037335309,2.353547565012313
NP_FNN_heteroscedasticity_1.0,2.592124930130023,2.5208143982672335
NP_FNN_heteroscedasticity_2.0,2.7296876475132312,2.6135912337731595
NP_FNN_heteroscedasticity_3.0,2.8242428641746806,2.672377002506171
NP_FNN_heteroscedasticity_4.0,2.8929918004810626,2.7128647055104835
NP_FNN_heteroscedasticity_5.0,2.945452296358415,2.7423569260417553
NP_FNN_heteroscedasticity_6.0,2.9867546155323637,2.764850939855548
NP_FNN_heteroscedasticity_7.0,3.020005797152776,2.7824443876157128
NP_FNN_heteroscedasticity_8.0,3.0474291351713685,2.7965413019602834
NP_FNN_heteroscedasticity_9.0,3.0704171277840326,2.808238156747333
NP_FNN_offset_0.0,1.8970352797215584,1.9127558719607007
NP_FNN_offset_1.0,2.1910581136559015,2.1885771556397526
NP_FNN_offset_2.0,2.3280700671969035,2.3252887854935116
NP_FNN_offset_3.0,2.3538224354161166,2.348590298413843
NP_FNN_offset_4.0,2.3589474083281337,2.3530903141749224
NP_FNN_offset_5.0,2.3611993384190177,2.354891652731687
NP_FNN_offset_6.0,2.362446997126876,2.3555903184990443
NP_FNN_offset_7.0,2.3635741690982317,2.3560916590246648
NP_FNN_offset_8.0,2.365073097167599,2.35659128359981
NP_FNN_offset_9.0,2.3668237551938356,2.3573910001799545
NP_FNN_structural_break_0.0,2.6824974455721677,2.535471945870229
NP_FNN_structural_break_1.0,3.0452073922168923,2.7673554795202615
NP_FNN_structural_break_2.0,3.3060611876616424,2.9057429593173385
NP_FNN_structural_break_3.0,3.493332347869002,2.9886352927148057
NP_FNN_structural_break_4.0,3.6329891826812997,3.0418285646249847
NP_FNN_structural_break_5.0,3.7403270798851738,3.077923964672039
NP_FNN_structural_break_6.0,3.825636526804678,3.103720267454723
NP_FNN_structural_break_7.0,3.894217567023987,3.122917322834908
NP_FNN_structural_break_8.0,3.9521330098296366,3.137715775392594
NP_FNN_structural_break_9.0,4.001049710779122,3.149212618367144
NP_FNN_trend_0.0,2.588717928915313,2.5591081207525352
NP_FNN_trend_1.0,2.601468769744069,2.5759091910578817
NP_FNN_trend_2.0,2.603345227105234,2.5818103960002907
NP_FNN_trend_3.0,2.5280856396981233,2.5209028108481317
NP_FNN_trend_4.0,2.4462051661279434,2.4435981605943233
NP_FNN_trend_5.0,2.418204673447388,2.415197118972199
NP_FNN_trend_6.0,2.4044521121138995,2.401294725433755
NP_FNN_trend_7.0,2.3963273754328527,2.392894691109453
NP_FNN_trend_8.0,2.390701775653024,2.3870942390187935
NP_FNN_trend_9.0,2.3868251147196884,2.3828932489886885
NP_amplitude_0.0,1.2386046491915124,1.240701105696144
NP_amplitude_1.0,1.6676358952810844,1.6748103255933064
NP_amplitude_2.0,1.7022336316698647,1.7111094798221642
NP_amplitude_3.0,1.7152512795866766,1.7248088437691824
NP_amplitude_4.0,1.7221941818207274,1.732008458404937
NP_amplitude_5.0,1.726409060317896,1.736509083834784
NP_amplitude_6.0,1.729260945504876,1.7395098074717146
NP_amplitude_7.0,1.7313669517582404,1.741708912671555
NP_amplitude_8.0,1.7329780304116322,1.743308707408625
NP_amplitude_9.0,1.7342187776148552,1.7446083317509915
NP_heteroscedasticity_0.0,1.8641985912794996,1.8421154987476336
NP_heteroscedasticity_1.0,2.1751816351186086,2.111495822787891
NP_heteroscedasticity_2.0,2.360174085275112,2.2573787993097962
NP_heteroscedasticity_3.0,2.48338367021991,2.3487676779501716
NP_heteroscedasticity_4.0,2.5725489044002723,2.4113575141541688
NP_heteroscedasticity_5.0,2.642066783827312,2.457851020247758
NP_heteroscedasticity_6.0,2.69672556009202,2.4934459394660817
NP_heteroscedasticity_7.0,2.7409076805363197,2.521640227074389
NP_heteroscedasticity_8.0,2.7772455460213603,2.544537580131572
NP_heteroscedasticity_9.0,2.8077268034480793,2.563634833216104
NP_localST_amplitude_0.0,1.2584813285638832,1.2625028823398454
NP_localST_amplitude_1.0,1.2641474079664814,1.2701836714253647
NP_localST_amplitude_2.0,1.264848089001301,1.2709813196411386
NP_localST_amplitude_3.0,1.2650321436916727,1.2712802239226444
NP_localST_amplitude_4.0,1.265247312734941,1.2713796138173086
NP_localST_amplitude_5.0,1.2652261888694705,1.271479871681378
NP_localST_amplitude_6.0,1.2653372403845857,1.2715802691734421
NP_localST_amplitude_7.0,1.2653257033538814,1.2715795145049853
NP_localST_amplitude_8.0,1.2653173404618745,1.2716792980385543
NP_localST_amplitude_9.0,1.2654367892218077,1.2716789651215596
NP_localST_heteroscedasticity_0.0,1.876908747352858,1.8546162825339232
NP_localST_heteroscedasticity_1.0,2.1645539229050756,2.1023954097977566
NP_localST_heteroscedasticity_2.0,2.3301601585952794,2.229777835830883
NP_localST_heteroscedasticity_3.0,2.4394276194168327,2.3076664936508773
NP_localST_heteroscedasticity_4.0,2.517573592111244,2.360156292935451
NP_localST_heteroscedasticity_5.0,2.576678473897583,2.3982497830410012
NP_localST_heteroscedasticity_6.0,2.623060903287689,2.427044716084134
NP_localST_heteroscedasticity_7.0,2.660188127201168,2.449639078458687
NP_localST_heteroscedasticity_8.0,2.6907098768985818,2.4677364458599644
NP_localST_heteroscedasticity_9.0,2.7162124407203394,2.482733733977852
NP_localST_offset_0.0,1.2584813285638832,1.2625028823398454
NP_localST_offset_1.0,1.2847323691471273,1.289304363485089
NP_localST_offset_2.0,1.3992422414291434,1.4032139241004455
NP_localST_offset_3.0,1.4489965398538536,1.4533177574753011
NP_localST_offset_4.0,1.5567552769427795,1.5664266900812536
NP_localST_offset_5.0,1.6196367338287163,1.6292325950079383
NP_localST_offset_6.0,1.662763652703174,1.6715350506662574
NP_localST_offset_7.0,1.7167696654268798,1.7243402684707867
NP_localST_offset_8.0,1.7476463818596666,1.7548424398797262
NP_localST_offset_9.0,1.7743990060329213,1.7812443197100443
NP_localST_structural_break_0.0,2.17641313547971,2.055058313782173
NP_localST_structural_break_1.0,2.6051747180337457,2.359747307853851
NP_localST_structural_break_2.0,2.9092884185640298,2.546237644290122
NP_localST_structural_break_3.0,3.11938504468466,2.658231390983904
NP_localST_structural_break_4.0,3.274631082079278,2.731425649752345
NP_localST_structural_break_5.0,3.3923157497359973,2.7813216553306934
NP_localST_structural_break_6.0,3.476846551327141,2.811018356096023
NP_localST_structural_break_7.0,3.551395940760647,2.837315738601775
NP_localST_structural_break_8.0,3.613244272186444,2.85771436763853
NP_localST_structural_break_9.0,3.6650969922225616,2.873911515281765
NP_localST_trend_0.0,1.2599810703852348,1.2642028119282818
NP_localST_trend_1.0,1.2601059682373963,1.2643026747429336
NP_localST_trend_2.0,1.259981586746394,1.264203021995649
NP_localST_trend_3.0,1.2598549709181472,1.2641016990962979
NP_localST_trend_4.0,1.2599806760733616,1.2642025189519865
NP_localST_trend_5.0,1.2599816430767279,1.264303187496751
NP_localST_trend_6.0,1.2599809107827802,1.2644025327416168
NP_localST_trend_7.0,1.2598563978096036,1.2643028664272873
NP_localST_trend_8.0,1.529004048212306,1.5378251335787838
NP_localST_trend_9.0,1.5415042418482419,1.550725761481454
NP_offset_0.0,1.2386046491915124,1.240701105696144
NP_offset_1.0,1.4618721732807733,1.4688188943922975
NP_offset_2.0,1.4654977929307467,1.472019510286826
NP_offset_3.0,1.4663729973674147,1.472719329519769
NP_offset_4.0,1.4666227342080371,1.4729191273393796
NP_offset_5.0,1.4666238160912703,1.4730198816445843
NP_offset_6.0,1.4667473075081827,1.4730190116826196
NP_offset_7.0,1.4667485971349,1.4730198245160782
NP_offset_8.0,1.4667478539599048,1.4730195644263118
NP_offset_9.0,1.4666231604042719,1.4729193386496848
NP_structural_break_0.0,2.093714448373124,1.9792561628407184
NP_structural_break_1.0,2.4983253358506965,2.2626453611688446
NP_structural_break_2.0,2.8299338647445076,2.476236609375226
NP_structural_break_3.0,3.079454584406987,2.623930985931332
NP_structural_break_4.0,3.2490340748934186,2.7104254525476885
NP_structural_break_5.0,3.3768754906341196,2.7696215642339514
NP_structural_break_6.0,3.476386001183464,2.8116183600140796
NP_structural_break_7.0,3.556211287572683,2.8427157685557627
NP_structural_break_8.0,3.62155959769343,2.8666144123849984
NP_structural_break_9.0,3.6764905841849136,2.8854115613605225
NP_trend_0.0,1.238729281322283,1.2408009087567589
NP_trend_1.0,1.4945006795910787,1.5021219881853238
NP_trend_2.0,1.4808752730030543,1.4892213591121914
NP_trend_3.0,1.472372677860085,1.4794190217350898
