,data,model,scaler,scaling level,weighted,MAE,RMSE,MAPE,MASE
0,EIA,NeuralProphetModel,no scaler,none,none,63.95310740037398,88.47909392439945,1.7394423569467934,0.37784625313332293
1,EIA,NeuralProphetModel,StandardScaler(),per_time_series,none,57.97756977514787,81.20300984242175,1.6174509782682767,0.34254172151746476
2,EIA,NeuralProphetModel,StandardScaler(),per_time_series,std*avg,57.710232106122106,80.90674117782054,1.6164881515909324,0.3409622433549667
3,EIA,NeuralProphetModel,StandardScaler(),per_time_series,avg,57.62562812458385,80.8163311109249,1.6155940311198884,0.34046238809032314
4,EIA,NeuralProphetModel,StandardScaler(),per_time_series,std,57.60470695929094,80.80965594529202,1.6148597764020616,0.3403387821509335
5,EIA,NeuralProphetModel,StandardScaler(),per_dataset,none,64.23490151492032,88.86000336508135,2.820449136197567,0.3795111425290763
6,EIA,NeuralProphetModel,"MinMaxScaler(feature_range=(-1, 1))",per_time_series,none,57.77548943866383,81.01503215573952,1.6162022101608189,0.3413477952005714
7,EIA,NeuralProphetModel,"MinMaxScaler(feature_range=(-1, 1))",per_time_series,std*avg,57.524310718883164,80.73052766414011,1.6158524138683623,0.3398637869640084
8,EIA,NeuralProphetModel,"MinMaxScaler(feature_range=(-1, 1))",per_time_series,avg,57.44964133609425,80.65455275671574,1.6151098703796214,0.3394226270633027
9,EIA,NeuralProphetModel,"MinMaxScaler(feature_range=(-1, 1))",per_time_series,std,57.426246643066406,80.64328064918158,1.6144248995591293,0.339284407085211
10,EIA,NeuralProphetModel,"MinMaxScaler(feature_range=(-1, 1))",per_dataset,none,72.77653520757502,98.38559410641038,3.518949347463521,0.4299766229036555
